Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Wednesday, May 1, 2024",11:00,USD,1,MBA 30-Year Mortgage Rate,7.29%,,7.24%
,11:00,USD,1,MBA Mortgage Applications (WoW),-2.30%,,-2.70%
,11:00,USD,1,MBA Purchase Index,141.7,,144.2
,11:00,USD,1,Mortgage Market Index,192.1,,196.7
,11:00,USD,1,Mortgage Refinance Index,456.9,,472.7
,12:15,USD,3,ADP Nonfarm Employment Change (Apr),192K,179K,208K
,13:45,USD,3,S&P Global US Manufacturing PMI (Apr),50,49.9,51.9
,14:00,USD,2,Construction Spending (MoM) (Mar),-0.20%,0.30%,-0.30%
,14:00,USD,2,ISM Manufacturing Employment (Apr),48.6,48.2,47.4
,14:00,USD,1,ISM Manufacturing New Orders Index (Apr),49.1,51,51.4
,14:00,USD,3,ISM Manufacturing PMI (Apr),49.2,50,50.3
,14:00,USD,3,ISM Manufacturing Prices (Apr),60.9,55.5,55.8
,14:00,USD,3,JOLTs Job Openings (Mar),8.488M,8.680M,8.813M
,14:30,USD,3,Crude Oil Inventories,7.265M,-2.300M,-6.368M
,14:30,USD,1,EIA Refinery Crude Runs (WoW),-0.230M,,-0.042M
,14:30,USD,1,Crude Oil Imports,1.536M,,-0.417M
,14:30,USD,2,Cushing Crude Oil Inventories,1.089M,,-0.659M
,14:30,USD,1,Distillate Fuel Production,-0.271M,,0.178M
,14:30,USD,1,EIA Weekly Distillates Stocks,-0.732M,,1.614M
,14:30,USD,1,Gasoline Production,0.254M,,-0.275M
,14:30,USD,1,Heating Oil Stockpiles,-0.179M,,1.073M
,14:30,USD,1,EIA Weekly Refinery Utilization Rates (WoW),-1.00%,,0.40%
,14:30,USD,1,Gasoline Inventories,0.344M,,-0.634M
,17:00,USD,2,Atlanta Fed GDPNow (Q2),3.30%,3.90%,3.90%
,18:00,USD,3,FOMC Statement,,,
,18:00,USD,3,Fed Interest Rate Decision,5.50%,5.50%,5.50%
,18:30,USD,3,FOMC Press Conference,,,
"Thursday, May 2, 2024",11:30,USD,1,Challenger Job Cuts (Apr),64.789K,,90.309K
,11:30,USD,1,Challenger Job Cuts (YoY),-3.30%,,0.70%
,12:30,USD,2,Continuing Jobless Claims,"1,774K","1,800K","1,774K"
,12:30,USD,2,Exports,257.60B,,263.00B
,12:30,USD,2,Imports,327.00B,,331.90B
,12:30,USD,3,Initial Jobless Claims,208K,212K,208K
,12:30,USD,1,Jobless Claims 4-Week Avg.,210.00K,,213.50K
,12:30,USD,2,Nonfarm Productivity (QoQ) (Q1),0.30%,0.80%,3.50%
,12:30,USD,2,Trade Balance (Mar),-69.40B,-69.50B,-69.50B
,12:30,USD,2,Unit Labor Costs (QoQ) (Q1),4.70%,3.60%,0.40%
,14:00,USD,1,All Car Sales (Apr),3.04M,,3.02M
,14:00,USD,1,All Truck Sales (Apr),12.69M,,12.54M
,14:00,USD,1,Durables Excluding Defense (MoM) (Mar),2.30%,,2.30%
,14:00,USD,1,Durables Excluding Transport (MoM) (Mar),0.20%,,0.30%
,14:00,USD,2,Factory Orders (MoM) (Mar),1.60%,1.60%,1.20%
,14:00,USD,1,Factory orders ex transportation (MoM) (Mar),0.50%,0.20%,1.10%
,14:30,USD,1,Natural Gas Storage,59B,68B,92B
,15:30,USD,1,4-Week Bill Auction,5.28%,,5.28%
,15:30,USD,1,8-Week Bill Auction,5.27%,,5.28%
,17:00,USD,2,Atlanta Fed GDPNow (Q2),3.30%,3.30%,3.30%
,20:30,USD,2,Fed's Balance Sheet,"7,362B",,"7,402B"
,20:30,USD,1,Reserve Balances with Federal Reserve Banks,3.317T,,3.272T
"Friday, May 3, 2024",12:30,USD,3,Average Hourly Earnings (MoM) (Apr),0.20%,0.30%,0.30%
,12:30,USD,2,Average Hourly Earnings (YoY) (YoY) (Apr),3.90%,4.00%,4.10%
,12:30,USD,1,Average Weekly Hours (Apr),34.3,34.4,34.4
,12:30,USD,1,Government Payrolls (Apr),8.0K,,72.0K
,12:30,USD,1,Manufacturing Payrolls (Apr),8K,5K,-4K
,12:30,USD,3,Nonfarm Payrolls (Apr),175K,238K,315K
,12:30,USD,2,Participation Rate (Apr),62.70%,,62.70%
,12:30,USD,2,Private Nonfarm Payrolls (Apr),167K,181K,243K
,12:30,USD,2,U6 Unemployment Rate (Apr),7.40%,,7.30%
,12:30,USD,3,Unemployment Rate (Apr),3.90%,3.80%,3.80%
,13:45,USD,2,S&P Global Composite PMI (Apr),51.3,50.9,52.1
,13:45,USD,3,S&P Global Services PMI (Apr),51.3,50.9,51.7
,14:00,USD,1,ISM Non-Manufacturing Business Activity (Apr),50.9,,57.4
,14:00,USD,2,ISM Non-Manufacturing Employment (Apr),45.9,49,48.5
,14:00,USD,1,ISM Non-Manufacturing New Orders (Apr),52.2,54.5,54.4
,14:00,USD,3,ISM Non-Manufacturing PMI (Apr),49.4,52,51.4
,14:00,USD,3,ISM Non-Manufacturing Prices (Apr),59.2,55,53.4
,14:00,USD,1,Total Vehicle Sales,15.74M,,15.50M
,17:00,USD,2,U.S. Baker Hughes Oil Rig Count,499,,506
,17:00,USD,2,U.S. Baker Hughes Total Rig Count,605,,613
,19:30,USD,1,CFTC Aluminium speculative net positions,1.4K,,1.3K
,19:30,USD,1,CFTC Copper speculative net positions,58.1K,,58.4K
,19:30,USD,1,CFTC Corn speculative net positions,-143.4K,,-160.2K
,19:30,USD,2,CFTC Crude Oil speculative net positions,265.5K,,264.8K
